DATE,IHLCHGNEWUS
2020-02-01,0.0
2020-02-02,0.9
2020-02-03,2.0
2020-02-04,2.2
2020-02-05,2.5
2020-02-06,2.8
2020-02-07,4.4
2020-02-08,6.0
2020-02-09,6.9
2020-02-10,7.5
2020-02-11,8.6
2020-02-12,10.0
2020-02-13,11.1
2020-02-14,11.0
2020-02-15,9.7
2020-02-16,8.8
2020-02-17,8.0
2020-02-18,6.5
2020-02-19,4.5
2020-02-20,2.8
2020-02-21,1.4
2020-02-22,1.1
2020-02-23,0.7
2020-02-24,0.0
2020-02-25,0.6
2020-02-26,1.4
2020-02-27,2.0
2020-02-28,2.2
2020-02-29,2.6
2020-03-01,3.3
2020-03-02,4.2
2020-03-03,4.2
2020-03-04,3.8
2020-03-05,3.4
2020-03-06,3.0
2020-03-07,3.0
2020-03-08,2.6
2020-03-09,1.6
2020-03-10,0.9
2020-03-11,0.7
2020-03-12,0.7
2020-03-13,0.6
2020-03-14,-0.3
2020-03-15,-2.0
2020-03-16,-3.2
2020-03-17,-5.8
2020-03-18,-9.7
2020-03-19,-14.2
2020-03-20,-19.1
2020-03-21,-24.4
2020-03-22,-28.4
2020-03-23,-32.6
2020-03-24,-35.2
2020-03-25,-37.2
2020-03-26,-38.9
2020-03-27,-40.6
2020-03-28,-42.0
2020-03-29,-43.9
2020-03-30,-45.5
2020-03-31,-47.6
2020-04-01,-49.5
2020-04-02,-51.0
2020-04-03,-52.0
2020-04-04,-53.2
2020-04-05,-54.6
2020-04-06,-55.7
2020-04-07,-55.8
2020-04-08,-55.5
2020-04-09,-55.3
2020-04-10,-54.8
2020-04-11,-53.7
2020-04-12,-52.3
2020-04-13,-51.1
2020-04-14,-50.7
2020-04-15,-51.4
2020-04-16,-51.9
2020-04-17,-52.6
2020-04-18,-53.1
2020-04-19,-53.6
2020-04-20,-54.2
2020-04-21,-54.6
2020-04-22,-53.9
2020-04-23,-53.3
2020-04-24,-52.6
2020-04-25,-52.1
2020-04-26,-51.4
2020-04-27,-50.6
2020-04-28,-50.1
2020-04-29,-49.6
2020-04-30,-49.1
2020-05-01,-48.2
2020-05-02,-47.2
2020-05-03,-46.6
2020-05-04,-46.0
2020-05-05,-45.3
2020-05-06,-44.2
2020-05-07,-42.4
2020-05-08,-40.9
2020-05-09,-39.9
2020-05-10,-38.8
2020-05-11,-37.8
2020-05-12,-36.8
2020-05-13,-36.0
2020-05-14,-35.0
2020-05-15,-35.0
2020-05-16,-34.6
2020-05-17,-34.2
2020-05-18,-33.8
2020-05-19,-33.8
2020-05-20,-34.1
2020-05-21,-35.5
2020-05-22,-35.6
2020-05-23,-35.8
2020-05-24,-35.8
2020-05-25,-35.8
2020-05-26,-36.7
2020-05-27,-37.1
2020-05-28,-37.1
2020-05-29,-37.5
2020-05-30,-39.2
2020-05-31,-38.8
2020-06-01,-38.2
2020-06-02,-35.0
2020-06-03,-32.4
2020-06-04,-30.0
2020-06-05,-27.8
2020-06-06,-24.5
2020-06-07,-23.5
2020-06-08,-22.0
2020-06-09,-22.3
2020-06-10,-22.3
2020-06-11,-22.3
2020-06-12,-21.9
2020-06-13,-20.7
2020-06-14,-19.1
2020-06-15,-19.0
2020-06-16,-18.5
2020-06-17,-18.0
2020-06-18,-17.4
2020-06-19,-17.4
2020-06-20,-18.0
2020-06-21,-18.6
2020-06-22,-18.5
2020-06-23,-18.7
2020-06-24,-18.9
2020-06-25,-19.2
2020-06-26,-19.0
2020-06-27,-18.8
2020-06-28,-18.5
2020-06-29,-18.2
2020-06-30,-17.6
2020-07-01,-16.8
2020-07-02,-15.4
2020-07-03,-13.6
2020-07-04,-12.9
2020-07-05,-12.2
2020-07-06,-11.5
2020-07-07,-9.3
2020-07-08,-7.2
2020-07-09,-6.7
2020-07-10,-7.0
2020-07-11,-5.0
2020-07-12,-3.1
2020-07-13,-1.8
2020-07-14,-2.0
2020-07-15,-3.8
2020-07-16,-4.7
2020-07-17,-5.4
2020-07-18,-7.4
2020-07-19,-9.5
2020-07-20,-11.3
2020-07-21,-12.8
2020-07-22,-12.8
2020-07-23,-12.7
2020-07-24,-12.2
2020-07-25,-11.7
2020-07-26,-10.9
2020-07-27,-10.1
2020-07-28,-9.7
2020-07-29,-9.6
2020-07-30,-9.8
2020-07-31,-10.5
2020-08-01,-11.2
2020-08-02,-12.0
2020-08-03,-12.8
2020-08-04,-13.6
2020-08-05,-14.0
2020-08-06,-14.2
2020-08-07,-13.5
2020-08-08,-12.7
2020-08-09,-12.1
2020-08-10,-11.4
2020-08-11,-10.0
2020-08-12,-9.0
2020-08-13,-8.0
2020-08-14,-7.1
2020-08-15,-7.8
2020-08-16,-8.0
2020-08-17,-8.4
2020-08-18,-9.2
2020-08-19,-9.8
2020-08-20,-10.0
2020-08-21,-11.0
2020-08-22,-10.4
2020-08-23,-10.2
2020-08-24,-10.0
2020-08-25,-9.6
2020-08-26,-9.6
2020-08-27,-9.7
2020-08-28,-9.7
2020-08-29,-9.6
2020-08-30,-9.4
2020-08-31,-9.1
2020-09-01,-8.6
2020-09-02,-7.7
2020-09-03,-6.4
2020-09-04,-5.0
2020-09-05,-3.9
2020-09-06,-2.6
2020-09-07,-0.1
2020-09-08,0.2
2020-09-09,-0.8
2020-09-10,-2.0
2020-09-11,-3.3
2020-09-12,-4.3
2020-09-13,-5.8
2020-09-14,-8.5
2020-09-15,-8.5
2020-09-16,-7.5
2020-09-17,-6.6
2020-09-18,-6.0
2020-09-19,-5.8
2020-09-20,-5.4
2020-09-21,-5.0
2020-09-22,-5.2
2020-09-23,-5.9
2020-09-24,-6.2
2020-09-25,-5.9
2020-09-26,-5.2
2020-09-27,-4.6
2020-09-28,-3.9
2020-09-29,-3.5
2020-09-30,-3.2
2020-10-01,-3.1
2020-10-02,-3.5
2020-10-03,-3.9
2020-10-04,-4.3
2020-10-05,-4.7
2020-10-06,-4.6
2020-10-07,-3.0
2020-10-08,-1.4
2020-10-09,0.2
2020-10-10,1.7
2020-10-11,3.2
2020-10-12,4.9
2020-10-13,6.1
2020-10-14,6.0
2020-10-15,4.5
2020-10-16,3.6
2020-10-17,2.8
2020-10-18,1.8
2020-10-19,0.7
2020-10-20,0.0
2020-10-21,-0.6
2020-10-22,0.1
2020-10-23,0.0
