Series ID,Year,Period,Label,Value
LNS14000025,2020,M01,2020 Jan,3.2
LNS14000025,2020,M02,2020 Feb,3.2
LNS14000025,2020,M03,2020 Mar,4.1
LNS14000025,2020,M04,2020 Apr,13.0
LNS14000025,2020,M05,2020 May,11.5
LNS14000025,2020,M06,2020 Jun,10.1
LNS14000025,2020,M07,2020 Jul,9.3
LNS14000025,2020,M08,2020 Aug,7.9
LNS14000025,2020,M09,2020 Sep,7.4
LNS14000025,2020,M10,2020 Oct,6.7
LNS14000025,2020,M11,2020 Nov,6.7
LNS14000025,2020,M12,2020 Dec,6.4
LNS14000025,2021,M01,2021 Jan,6.1
LNS14000025,2021,M02,2021 Feb,6.0
LNS14000025,2021,M03,2021 Mar,5.8
LNS14000025,2021,M04,2021 Apr,6.0
LNS14000025,2021,M05,2021 May,5.8
LNS14000025,2021,M06,2021 Jun,5.9
LNS14000025,2021,M07,2021 Jul,5.3
LNS14000025,2021,M08,2021 Aug,5.1
LNS14000025,2021,M09,2021 Sep,4.7
LNS14000025,2021,M10,2021 Oct,4.3
LNS14000025,2021,M11,2021 Nov,3.9
LNS14000025,2021,M12,2021 Dec,3.6
LNS14000025,2022,M01,2022 Jan,3.8
LNS14000025,2022,M02,2022 Feb,3.5
LNS14000025,2022,M03,2022 Mar,3.4
LNS14000025,2022,M04,2022 Apr,3.5
LNS14000025,2022,M05,2022 May,3.4
